"message","severity","solution1","solution2","solution3"
"Warning: 40percentclub/25: Missing layout pp macro for ['ortho_5x5', 'ortho_5x10']","warning",,,
"Warning: 40percentclub/foobar: Missing layout pp macro for ['ortho_3x10']","warning",,,
"Warning: bigseries: Falling back to searching for KEYMAP/LAYOUT macros.","warning",,,
"Error: clueboard/66_hotswap/gen1: LAYOUT: Number of elements in info.json does not match! info.json:73 != LAYOUT:70","error",,,
"Error: dichotomy: LAYOUT: Number of elements in info.json does not match! info.json:48 != LAYOUT:50","error",,,
"Warning: duck/eagle_viper: Missing layout pp macro for ['60_ansi']","warning",,,
"Warning: ergo42: Missing layout pp macro for ['ortho_4x14']","warning",,,
"Warning: felix: Missing layout pp macro for ['ortho_5x4']","warning",,,
"Warning: fleuron: Missing layout pp macro for ['ortho_6x16']","warning",,,
"Warning: fractal: Missing layout pp macro for ['preonic_mit']","warning",,,
"Warning: handwired/dactyl_manuform: Falling back to searching for KEYMAP/LAYOUT macros.","warning",,,
"Error: helix/pico: LAYOUT: Number of elements in info.json does not match! info.json:64 != LAYOUT:50","error",,,
"Error: helix/rev1: LAYOUT: Number of elements in info.json does not match! info.json:64 != LAYOUT:60","error",,,
"Warning: jj40: Missing layout pp macro for ['planck_mit']","warning",,,
"Warning: jj50: Missing layout pp macro for ['ortho_5x12']","warning",,,
"Warning: lfkeyboards: Falling back to searching for KEYMAP/LAYOUT macros.","warning",,,
"Warning: mt40: Missing layout pp macro for ['planck_mit']","warning",,,
"Warning: niu_mini: Missing layout pp macro for ['ortho_4x12']","warning",,,
"Warning: novelpad: Missing layout pp macro for ['ortho_5x4']","warning",,,
"Warning: planck: Missing layout pp macro for ['planck_grid']","warning",,,
"Error: preonic: KEYMAP: Number of elements in info.json does not match! info.json:59 != KEYMAP:60","error",,,
"Error: preonic/rev1: KEYMAP: Number of elements in info.json does not match! info.json:59 != KEYMAP:60","error",,,
"Error: preonic/rev2: KEYMAP: Number of elements in info.json does not match! info.json:59 != KEYMAP:60","error",,,
"Error: preonic/rev3: KEYMAP: Number of elements in info.json does not match! info.json:59 != KEYMAP:60","error",,,
"Warning: proton_c: Falling back to searching for KEYMAP/LAYOUT macros.","warning",,,
"Warning: ps2avrGB: Falling back to searching for KEYMAP/LAYOUT macros.","warning",,,
"Error: s7_elephant: LAYOUT_iso_1u: Number of elements in info.json does not match! info.json:75 != LAYOUT_iso_1u:74","error",,,
"Warning: subatomic: Falling back to searching for KEYMAP/LAYOUT macros.","warning",,,
"Warning: subatomic does not have a readme.md.","warning",,,
"Warning: vision_division: Falling back to searching for KEYMAP/LAYOUT macros.","warning",,,
"Warning: zlant: Missing layout pp macro for ['ortho_4x12']","warning",,,
